Questions,Related Articles,The Expected Answers,,,,,,,,
"According to the UAE constitution, is the accused considered innocent before his guilt is proven?","PART THREE
FREEDOM, RIGHTS AND PUBLIC DUTIES 
Article 28
Penalty is personal. An accused shall be presumed
innocent until proved guilty in a legal and fair trial. The accused
shall have the right to appoint the person who is capable to
conduct his defence during the trial. The law shall prescribe the
cases in which the presence of a counsel for defence shall be
assigned. Physical and moral abuse of an accused person is
prohibited.","According to Article 28 of the UAE Constitution, everyone is considered innocent until proven guilty in a court of law.",,,,,,,,
Is freedom of opinion and expression guaranteed in the UAE according to the law?,"PART THREE
FREEDOM, RIGHTS AND PUBLIC DUTIES 
Article 30
Freedom of opinion and expressing it verbally, in writing
or by other means of expression shall be guaranteed within the
limits of law.","Yes, freedom of opinion and expression is guaranteed in the UAE according to the Constitution of the United Arab Emirates. Article 30 of the Constitution states that ""Every person shall have the right to express his opinion and to publicize it verbally, in writing, or by any other means of expression, provided that he shall be responsible for the abuse thereof in accordance with the law.""
",,,,,,,,
"What the Prime Minister, his Deputy, and the Ministers should do before assuming the responsibilities of their office?","Chapter III - THE COUNCIL OF MINISTERS OF THE
UNION
Article 57
The Prime Minister, his Deputy and the Ministers shall,
before assuming the responsibilities of their office. take the
following oath before the President of the Union:-
""I swear by Almighty God that I will be loyal to the
United Arab Emirates; that I will respect its Constitution
and laws; that 1 will discharge my duties faithfully; that 1
will completely observe the interests of the people of the
Union and that I will completely safeguard the existence of
the Union and its territorial integrity.""","According to Article 106 of the UAE Constitution, the Prime Minister, his Deputy, and the Ministers must take an oath before the President of the UAE before assuming the responsibilities of their office.
",,,,,,,,
"What is the text of the oath that the Prime Minister, his Deputy, and the Ministers must take before starting their duties and job responsibilities?",,"The oath that the Prime Minister, his Deputy, and the Ministers must take before starting their duties and job responsibilities is: ""I swear by Almighty God that I will be loyal to the United Arab Emirates; that I will respect its Constitution and laws; that I will discharge my duties faithfully; that I will completely observe the interests of the people of the Union and that I will completely safeguard the existence of the Union and its territorial integrity.""",,,,,,,,
"How many members constitute the National Assembly of the Union, and how are the seats distributed among the member Emirates?","Section 1 - General Pr ovisions.
Article 68
The National Assembly of the Union shall be composed of
forty (1) members. Seats shall be distributed to member Emirates
as follows: -
Abu Dhabi 8 seats
Dubai 8 seats
Sharjah 6 seats
Ras AI – Khaimah 6 seats
Ajman 4 seats
Umm AI – Quwain 4 seats
Fujairah 4 seats","According to Article 68 of the Constitution, the National Assembly of the Union is composed of forty (40) members. Seats are distributed to member Emirates as follows: Abu Dhabi 8 seats, Dubai 8 seats, Sharjah 6 seats, Ras Al-Khaimah 6 seats, Ajman 4 seats, Umm Al-Quwain 4 seats, and Fujairah 4 seats.
",,,,,,,,
How many seats does the Emirate of Ajman have in the Federation National Assembly?,,The Emirate of Ajman has one seat in the Federation National Assembly.,,,,,,,,
What are the conditions that must be met by a member of the National Council of the Federation?,"Section 1 - General Pr ovisions.
Article 70
A member of the Union National Assembly must satisfy
the following conditions :-
1. Must be a citizen of one of the Emirates of the Union, and
permanently resident in the Emirate he represents in the
Assembly.
2. Must be not less than twenty-five Gregorian years of age at
the time of his selection.
3. Must enjoy civil status. good conduct, reputation and not
previously convicted of a dishonourable offence unless he has
been rehabilitated in accordance with the law.
3. Must have adequate knowledge of reading and writing.","According to Article 3 of the Constitution of the United Arab Emirates, a member of the National Council of the Federation must be permanently residing in the Emirate by which he is selected, a citizen of the member Emirate of the federation, at least 25 years old, civilly competent, of good conduct and reputation, and not punished by a dishonor crime unless being rehabilitated according to the law. They must also have sufficient Arabic language speaking and reading skills. Additionally, while being a Council member, a member shall not combine between the membership and any of the public jobs in the federation government including the ministerial posts.

",,,,,,,,
"What is the procedure for filling a vacant seat in the Assembly if a member's position becomes vacant before the end of their term, and how long does the Assembly have to select a replacement?","Section 1 - General Pr ovisions.
Article 74
If, for any reason, a seat of any member of the
Assembly becomes vacant before the end of the term of his
membership, a replacement shall be selected within two months
of the date on which the vacancy is announced by the Assembly,
unless the vacancy occurs during the three months preceding the
end of the term of the Assembly.
The new member shall complete the term of
membership of his predecessor.","According to Article 74 of the Constitution of the United Arab Emirates, if a seat of any member of the Assembly becomes vacant before the end of the term of their membership, a replacement shall be selected within two months of the date on which the vacancy is announced by the Assembly, unless the vacancy occurs during the three months preceding the end of the term of the Assembly. The new member shall complete the term of membership of their predecessor.

",,,,,,,,
"what is the composition of the Union Supreme Court, and how are the President and judges appointed to the Court?","Chapter V - THE JUDICIARY IN THE UNION AND THE
EMIRATES
Article 96
The Union Supreme Court shall consist of a President and
a number of judges, not exceeding five in all, who shall be
appointed by decree, issued by the President of the Union after
approval by the Supreme Council. The law shall prescribe the
number of the chambers in the Court, their order and procedures,
conditions of service and retirement for its members and the
preconditions and qualifications required of them.","The Union Supreme Court consists of a President and a number of judges, not exceeding five in all. The President and the judges of the Court are appointed by decree, issued by the President of the Union after approval by the Supreme Council. The law prescribes the number of the chambers in the Court, their order and procedures, conditions of service and retirement for its members and the preconditions and qualifications required of them.
",,,,,,,,
"what are the grounds on which the President and Judges of the Union Supreme Court can have their tenure of office terminated, and under what conditions can they be removed from their positions?","Article 97
The President and the Judges of the Union Supreme Court
shall not be removed while they administer justice. Their tenure
of office shall not be terminated except for one of the following
reasons: -
1. Death.
2. Resignation.
3. Expiration of term of contract for those who are
appointed by fixed term contract or completion of term
of secondment.
4. Reaching retirement age.
5. Permanent incapacity to carry the burdens of their duties by
reasons of ill health.
6. Disciplinary discharge on the basis of the reasons and
proceedings stipulated in the law.
7. Appointment to other offices. with their consent.","The President and the Judges of the Union Supreme Court can have their tenure of office terminated for the following reasons: death, resignation, expiration of term of contract, completion of term of secondment, reaching retirement age, permanent incapacity to carry the burdens of their duties by reasons of ill health, and disciplinary discharge on the basis of the reasons and proceedings stipulated in the law. They cannot be removed while they administer justice.

",,,,,,,,
